
TimeEdit,Universiti Malaya
"GIG1003, ASAS PEMBUDAYAAN KEUSAHAWANAN,WIX2001, KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2002, PENGURUSAN PROJEK,WIA2001, PANGKALAN DATA,WIA2003, KEBARANGKALIAN DAN STATISTIK,WIA2006, ANALISIS DAN REKABENTUK SISTEM,WIA2007, PEMBANGUNAN APLIKASI MUDAH ALIH",07/10/2024 - 15/02/2025 Mon-Fri,
Begin date,Begin time,End date,End time,Module,Module Offering,Activity,Activity Type (exam),Room 
07/10/2024,09:00,07/10/2024,12:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/8,LECTURE,,BILIK KULIAH FSKTM
07/10/2024,09:00,07/10/2024,11:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/6,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
07/10/2024,11:00,07/10/2024,14:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/2,LECTURE,,BILIK TUTORIAL 2 FSKTM
07/10/2024,11:00,07/10/2024,14:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/4,LECTURE,,BILIK KULIAH 2 FSKTM
07/10/2024,12:00,07/10/2024,14:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/4,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
07/10/2024,12:00,07/10/2024,14:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/5,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
07/10/2024,12:00,07/10/2024,14:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/7,TUTORIAL,,MAKMAL MIKRO 6 FSKTM
07/10/2024,14:00,07/10/2024,16:00,PANGKALAN DATA,"WIA2001/2024/S1/1,WIA2001/2024/S1/2,WIA2001/2024/S1/3,WIA2001/2024/S1/4,WIA2001/2024/S1/5",LECTURE,,DEWAN KULIAH 1 FSKTM
07/10/2024,14:00,07/10/2024,16:00,PANGKALAN DATA,"WIA2001/2023/S1/7,WIA2001/2023/S1/8,WIA2001/2023/S1/9,WIA2001/2024/S1/10,WIA2001/2024/S1/6",LECTURE,,DEWAN KULIAH 2 FSKTM
07/10/2024,17:00,07/10/2024,19:00,ASAS PEMBUDAYAAN KEUSAHAWANAN,GIG1003/2024/S1/1,ONLINE,,ONLINE LECTURE
08/10/2024,09:00,08/10/2024,10:00,ANALISIS DAN REKABENTUK SISTEM,WIA2006/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
08/10/2024,09:00,08/10/2024,10:00,ANALISIS DAN REKABENTUK SISTEM,WIA2006/2024/S1/2,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
08/10/2024,10:00,08/10/2024,11:00,ANALISIS DAN REKABENTUK SISTEM,WIA2006/2024/S1/4,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
08/10/2024,11:00,08/10/2024,14:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/9,LECTURE,,MAKMAL MIKRO 4 FSKTM
08/10/2024,11:00,08/10/2024,13:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
08/10/2024,11:00,08/10/2024,13:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/2,TUTORIAL,,MAKMAL MIKRO 1 FSKTM
08/10/2024,13:00,08/10/2024,16:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/1,LECTURE,,BILIK KULIAH 2 FSKTM
08/10/2024,13:00,08/10/2024,16:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/3,LECTURE,,BILIK KULIAH FSKTM
08/10/2024,14:00,08/10/2024,16:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/3,TUTORIAL,,MAKMAL LANJUTAN FSKTM
08/10/2024,16:00,08/10/2024,17:00,ANALISIS DAN REKABENTUK SISTEM,WIA2006/2024/S1/6,TUTORIAL,,MAKMAL MIKRO 6 FSKTM
08/10/2024,17:00,08/10/2024,18:00,ANALISIS DAN REKABENTUK SISTEM,WIA2006/2024/S1/8,TUTORIAL,,MAKMAL MIKRO 6 FSKTM
09/10/2024,08:00,09/10/2024,10:00,PEMBANGUNAN APLIKASI MUDAH ALIH,"WIA2007/2024/S1/1,WIA2007/2024/S1/2,WIA2007/2024/S1/3,WIA2007/2024/S1/4",LECTURE,,DEWAN KULIAH 1 FSKTM
09/10/2024,08:00,09/10/2024,10:00,PEMBANGUNAN APLIKASI MUDAH ALIH,"WIA2007/2024/S1/5,WIA2007/2024/S1/6,WIA2007/2024/S1/7,WIA2007/2024/S1/8",LECTURE,,DEWAN KULIAH 2 FSKTM
09/10/2024,09:00,09/10/2024,10:00,ANALISIS DAN REKABENTUK SISTEM,WIA2006/2024/S1/7,TUTORIAL,,MAKMAL LANJUTAN FSKTM
09/10/2024,09:00,09/10/2024,10:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/6,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
09/10/2024,09:00,09/10/2024,10:00,PANGKALAN DATA,WIA2001/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
09/10/2024,09:00,09/10/2024,10:00,PANGKALAN DATA,WIA2001/2024/S1/2,TUTORIAL,,MAKMAL MIKRO 1 FSKTM
09/10/2024,10:00,09/10/2024,12:00,PENGURUSAN PROJEK,"WIX2002/2024/S1/1,WIX2002/2024/S1/2,WIX2002/2024/S1/3,WIX2002/2024/S1/4,WIX2002/2024/S1/5",LECTURE,,DEWAN KULIAH 1 FSKTM
09/10/2024,10:00,09/10/2024,12:00,PENGURUSAN PROJEK,"WIX2002/2024/S1/10,WIX2002/2024/S1/6,WIX2002/2024/S1/7,WIX2002/2024/S1/8,WIX2002/2024/S1/9",LECTURE,,DEWAN KULIAH 2 FSKTM
09/10/2024,12:00,09/10/2024,13:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/10,TUTORIAL,,MAKMAL MIKRO 1 FSKTM
09/10/2024,12:00,09/10/2024,13:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/9,TUTORIAL,,MAKMAL MIKRO 2 FSKTM
09/10/2024,12:00,09/10/2024,13:00,PANGKALAN DATA,WIA2001/2024/S1/3,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
09/10/2024,12:00,09/10/2024,13:00,PANGKALAN DATA,WIA2001/2024/S1/7,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
09/10/2024,13:00,09/10/2024,14:00,ANALISIS DAN REKABENTUK SISTEM,WIA2006/2024/S1/3,TUTORIAL,,MAKMAL LANJUTAN FSKTM
09/10/2024,13:00,09/10/2024,14:00,PANGKALAN DATA,WIA2001/2024/S1/5,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
09/10/2024,13:00,09/10/2024,14:00,PANGKALAN DATA,WIA2001/2024/S1/8,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
09/10/2024,14:00,09/10/2024,15:00,ANALISIS DAN REKABENTUK SISTEM,WIA2006/2024/S1/5,TUTORIAL,,MAKMAL LANJUTAN FSKTM
09/10/2024,14:00,09/10/2024,17:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/5,LECTURE,,BILIK TUTORIAL 1 FSKTM
09/10/2024,14:00,09/10/2024,17:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/6,LECTURE,,DEWAN KULIAH 2 FSKTM
09/10/2024,14:00,09/10/2024,17:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/7,LECTURE,,BILIK TUTORIAL 3 FSKTM
09/10/2024,15:00,09/10/2024,18:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/10,LECTURE,,BILIK KULIAH 2 FSKTM
09/10/2024,15:00,09/10/2024,17:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/8,TUTORIAL,,MAKMAL MIKRO 1 FSKTM
10/10/2024,09:00,10/10/2024,10:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 2 FSKTM
10/10/2024,10:00,10/10/2024,12:00,ANALISIS DAN REKABENTUK SISTEM,"WIA2006/2024/S1/1,WIA2006/2024/S1/2,WIA2006/2024/S1/3,WIA2006/2024/S1/4",LECTURE,,DEWAN KULIAH 1 FSKTM
10/10/2024,10:00,10/10/2024,12:00,ANALISIS DAN REKABENTUK SISTEM,"WIA2006/2024/S1/5,WIA2006/2024/S1/6,WIA2006/2024/S1/7,WIA2006/2024/S1/8",LECTURE,,DEWAN KULIAH 2 FSKTM
10/10/2024,12:00,10/10/2024,13:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/2,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
10/10/2024,12:00,10/10/2024,13:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/7,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
10/10/2024,12:00,10/10/2024,13:00,PANGKALAN DATA,WIA2001/2024/S1/4,TUTORIAL,,MAKMAL STROUSTRUP FSKTM
10/10/2024,12:00,10/10/2024,13:00,PANGKALAN DATA,WIA2001/2024/S1/9,TUTORIAL,,MAKMAL MIKRO 2 FSKTM
10/10/2024,13:00,10/10/2024,14:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/3,TUTORIAL,,MAKMAL LANJUTAN FSKTM
10/10/2024,13:00,10/10/2024,14:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/4,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
10/10/2024,13:00,10/10/2024,14:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/8,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
10/10/2024,13:00,10/10/2024,14:00,PANGKALAN DATA,WIA2001/2024/S1/10,TUTORIAL,,MAKMAL MIKRO 2 FSKTM
10/10/2024,13:00,10/10/2024,14:00,PANGKALAN DATA,WIA2001/2024/S1/6,TUTORIAL,,MAKMAL STROUSTRUP FSKTM
10/10/2024,14:00,10/10/2024,15:00,KEBARANGKALIAN DAN STATISTIK,WIA2003/2024/S1/5,TUTORIAL,,MAKMAL LANJUTAN FSKTM
10/10/2024,14:00,10/10/2024,15:00,PENGURUSAN PROJEK,WIX2002/2024/S1/4,TUTORIAL,,BILIK KULIAH 2 FSKTM
10/10/2024,15:00,10/10/2024,16:00,PENGURUSAN PROJEK,WIX2002/2024/S1/1,TUTORIAL,,BILIK KULIAH FSKTM
10/10/2024,15:00,10/10/2024,16:00,PENGURUSAN PROJEK,WIX2002/2024/S1/5,TUTORIAL,,BILIK KULIAH 2 FSKTM
11/10/2024,08:00,11/10/2024,09:00,PENGURUSAN PROJEK,WIX2002/2024/S1/6,TUTORIAL,,BILIK KULIAH FSKTM
11/10/2024,09:00,11/10/2024,11:00,KEBARANGKALIAN DAN STATISTIK,"WIA2003/2024/S1/1,WIA2003/2024/S1/2,WIA2003/2024/S1/3,WIA2003/2024/S1/4,WIA2003/2024/S1/5",LECTURE,,DEWAN KULIAH 2 FSKTM
11/10/2024,09:00,11/10/2024,11:00,KEBARANGKALIAN DAN STATISTIK,"WIA2003/2024/S1/10,WIA2003/2024/S1/6,WIA2003/2024/S1/7,WIA2003/2024/S1/8,WIA2003/2024/S1/9",LECTURE,,DEWAN KULIAH 1 FSKTM
11/10/2024,10:00,11/10/2024,11:00,PENGURUSAN PROJEK,WIX2002/2024/S1/2,TUTORIAL,,MAKMAL MIKRO 6 FSKTM
11/10/2024,11:00,11/10/2024,12:00,PENGURUSAN PROJEK,WIX2002/2024/S1/3,TUTORIAL,,MAKMAL MIKRO 6 FSKTM
11/10/2024,11:00,11/10/2024,12:00,PENGURUSAN PROJEK,WIX2002/2024/S1/8,TUTORIAL,,BILIK KULIAH FSKTM
11/10/2024,12:00,11/10/2024,13:00,PENGURUSAN PROJEK,WIX2002/2024/S1/10,TUTORIAL,,BILIK KULIAH FSKTM
11/10/2024,15:00,11/10/2024,16:00,PENGURUSAN PROJEK,WIX2002/2024/S1/7,TUTORIAL,,BILIK KULIAH 2 FSKTM
11/10/2024,16:00,11/10/2024,17:00,PENGURUSAN PROJEK,WIX2002/2024/S1/9,TUTORIAL,,BILIK KULIAH 2 FSKTM
14/10/2024,09:00,14/10/2024,12:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/8,LECTURE,,BILIK KULIAH FSKTM
14/10/2024,09:00,14/10/2024,11:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/6,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
14/10/2024,11:00,14/10/2024,14:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/2,LECTURE,,BILIK TUTORIAL 2 FSKTM
14/10/2024,11:00,14/10/2024,14:00,KEMAHIRAN BERFIKIR DAN BERKOMUNIKASI,WIX2001/2024/S1/4,LECTURE,,BILIK KULIAH 2 FSKTM
14/10/2024,12:00,14/10/2024,14:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/4,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
14/10/2024,12:00,14/10/2024,14:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/5,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
14/10/2024,12:00,14/10/2024,14:00,PEMBANGUNAN APLIKASI MUDAH ALIH,WIA2007/2024/S1/7,TUTORIAL,,MAKMAL MIKRO 6 FSKTM
14/10/2024,14:00,14/10/2024,16:00,PANGKALAN DATA,"WIA2001/2024/S1/1,WIA2001/2024/S1/2,WIA2001/2024/S1/3,WIA2001/2024/S1/4,WIA2001/2024/S1/5",LECTURE,,DEWAN KULIAH 1 FSKTM
